Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
47.0,Bachelor's,9.0,Healthcare,Medical Assistant,Medium,Entry,21,85,84,Low,0,4.0,11,5.0,Low
37.0,Bachelor's,10.0,Education,Academic Coordinator,Medium,Entry,19,86,78,Low,2,4.0,13,8.0,Low
40.0,Bachelor's,11.0,Finance,Accountant,Large,Entry,46,53,66,Low,2,1.0,43,6.0,Medium
42.0,Master's,4.0,Education,Research Assistant,Small,Entry,80,42,26,Medium,2,11.0,77,10.0,High
43.0,Bachelor's,9.0,IT,Data Analyst,Medium,Mid,61,38,55,Medium,2,5.0,35,29.0,Medium
60.0,High School,4.0,Education,Research Assistant,Small,Mid,16,100,26,Low,0,5.0,12,8.0,Low
25.0,High School,4.0,Telecom,Operations Analyst,Medium,Entry,89,10,72,Medium,3,14.0,66,29.0,High
59.0,Bachelor's,10.0,IT,Software Engineer,Medium,Mid,56,49,50,Medium,4,10.0,36,20.0,Medium
24.0,PhD,3.0,Retail,Inventory Analyst,Medium,Entry,29,70,79,Low,0,1.0,27,2.0,Low
37.0,Master's,0.0,Telecom,Operations Analyst,Large,Mid,16,92,53,Low,2,3.0,15,1.0,Low
53.0,Master's,12.0,Telecom,Network Engineer,Medium,Senior,20,88,80,Low,0,3.0,10,4.0,Low
28.0,High School,0.0,Telecom,Operations Analyst,Small,Entry,70,24,83,Medium,2,7.0,35,29.0,High
58.0,PhD,12.0,Manufacturing,Production Supervisor,Large,Entry,64,32,24,Medium,4,8.0,49,13.0,High
26.0,Bachelor's,5.0,Education,Academic Coordinator,Medium,Entry,37,68,38,Low,2,0.0,25,9.0,Low
25.0,High School,4.0,Retail,Inventory Analyst,Medium,Entry,53,34,79,Low,2,5.0,25,4.0,High
24.0,Bachelor's,3.0,Telecom,Support Specialist,Medium,Senior,21,77,29,Low,2,2.0,12,9.0,Low
47.0,Master's,9.0,Healthcare,Nurse,Medium,Mid,53,44,71,Low,1,3.0,33,8.0,Low
29.0,Bachelor's,6.0,Logistics,Supply Chain Analyst,Medium,Mid,70,27,66,Medium,2,5.0,53,16.0,High
31.0,Bachelor's,5.0,Healthcare,Medical Assistant,Medium,Entry,78,20,63,Medium,2,7.0,40,8.0,High
34.0,Bachelor's,13.0,Education,Research Assistant,Medium,Entry,41,66,64,Low,2,1.0,26,5.0,Low
60.0,High School,4.0,Education,Teacher,Large,Senior,52,39,66,Medium,4,12.0,38,6.0,Low
29.0,Bachelor's,7.0,IT,ML Engineer,Medium,Mid,86,19,57,Medium,5,13.0,76,16.0,High
29.0,Bachelor's,8.0,Finance,Auditor,Small,Entry,36,67,30,Low,0,1.0,18,3.0,Medium
45.0,Bachelor's,13.0,Healthcare,Nurse,Small,Entry,43,55,82,Medium,5,10.0,35,5.0,Medium
58.0,Master's,7.0,Telecom,Support Specialist,Large,Entry,76,17,37,Medium,3,5.0,36,7.0,High
36.0,Bachelor's,7.0,Finance,Financial Analyst,Medium,Mid,25,73,55,Low,0,4.0,20,8.0,Low
54.0,High School,12.0,Retail,Inventory Analyst,Medium,Senior,25,79,92,Low,1,5.0,23,4.0,Low
46.0,Master's,11.0,IT,ML Engineer,Large,Entry,73,25,32,Medium,5,10.0,41,13.0,High
54.0,Bachelor's,10.0,IT,Software Engineer,Medium,Senior,81,25,42,Medium,2,13.0,51,22.0,Medium
23.0,Master's,2.0,Logistics,Warehouse Manager,Medium,Entry,54,48,40,Low,2,0.0,51,3.0,High
46.0,Master's,19.0,Manufacturing,Production Supervisor,Small,Mid,32,69,61,Low,2,1.0,29,5.0,Low
34.0,High School,3.0,IT,Software Engineer,Small,Mid,73,27,79,Medium,4,9.0,33,26.0,Medium
55.0,PhD,8.0,Logistics,Supply Chain Analyst,Small,Mid,92,5,82,Medium,4,5.0,71,20.0,High
53.0,Bachelor's,6.0,Finance,Auditor,Large,Mid,14,78,34,Low,0,0.0,9,9.0,Low
39.0,Master's,0.0,IT,Software Engineer,Small,Senior,59,54,24,Low,0,2.0,41,9.0,Medium
51.0,Master's,1.0,Retail,Sales Associate,Small,Mid,63,48,90,Medium,5,9.0,32,22.0,Medium
22.0,Bachelor's,1.0,Logistics,Warehouse Manager,Small,Entry,71,30,35,Medium,5,8.0,37,24.0,High
43.0,High School,11.0,Logistics,Warehouse Manager,Medium,Mid,81,7,40,Medium,4,10.0,46,8.0,High
42.0,High School,6.0,IT,ML Engineer,Medium,Senior,57,63,55,Medium,3,11.0,31,29.0,Low
33.0,High School,8.0,Retail,Store Manager,Small,Entry,23,64,66,Low,0,0.0,15,6.0,Medium
42.0,High School,7.0,Retail,Inventory Analyst,Large,Entry,11,88,52,Low,0,3.0,9,1.0,Medium
21.0,Bachelor's,0.0,Education,Research Assistant,Large,Mid,85,21,71,Medium,3,6.0,64,7.0,High
33.0,High School,3.0,Healthcare,Health Analyst,Medium,Mid,79,36,94,Medium,5,8.0,49,19.0,Medium
57.0,Master's,11.0,Manufacturing,Operator,Small,Entry,15,86,76,Low,0,1.0,12,1.0,Low
53.0,Master's,1.0,Manufacturing,Quality Engineer,Large,Mid,43,39,27,Low,2,0.0,32,9.0,High
30.0,Bachelor's,7.0,Manufacturing,Operator,Small,Mid,67,39,73,Medium,5,12.0,45,18.0,High
56.0,Bachelor's,18.0,Retail,Sales Associate,Small,Entry,49,30,64,Low,1,2.0,45,6.0,High
39.0,High School,8.0,Healthcare,Health Analyst,Large,Entry,57,33,23,Medium,3,9.0,47,26.0,High
26.0,Bachelor's,5.0,Healthcare,Health Analyst,Medium,Senior,48,52,32,Low,2,2.0,39,7.0,Low
27.0,Master's,6.0,Finance,Accountant,Large,Entry,77,37,41,Medium,3,6.0,67,8.0,High
26.0,Bachelor's,5.0,Retail,Store Manager,Large,Entry,19,79,97,Low,2,4.0,12,4.0,Low
58.0,High School,16.0,IT,Software Engineer,Large,Entry,89,12,44,Medium,4,5.0,87,23.0,High
52.0,Master's,11.0,Healthcare,Nurse,Large,Entry,72,8,72,Medium,3,14.0,60,22.0,High
24.0,High School,3.0,Retail,Inventory Analyst,Small,Mid,64,40,37,Medium,3,8.0,61,23.0,High
21.0,Bachelor's,0.0,Retail,Sales Associate,Medium,Mid,47,55,42,Medium,4,5.0,31,21.0,Medium
32.0,High School,11.0,Retail,Inventory Analyst,Medium,Entry,80,25,92,High,10,19.0,57,33.0,High
44.0,Bachelor's,13.0,Finance,Accountant,Medium,Entry,45,50,83,Medium,5,6.0,44,15.0,Medium
59.0,Master's,11.0,Healthcare,Health Analyst,Small,Senior,80,8,54,High,9,29.0,64,65.0,Medium
49.0,Master's,4.0,Finance,Accountant,Large,Mid,12,92,24,Low,1,4.0,9,3.0,Low
35.0,Bachelor's,14.0,Healthcare,Health Analyst,Medium,Entry,91,27,74,High,6,29.0,90,73.0,High
55.0,Bachelor's,15.0,Telecom,Network Engineer,Small,Mid,93,9,83,High,7,26.0,89,36.0,High
49.0,Master's,11.0,Education,Academic Coordinator,Small,Entry,71,9,59,Low,1,5.0,70,1.0,High
40.0,Master's,4.0,Finance,Financial Analyst,Medium,Entry,39,57,84,Low,0,2.0,30,9.0,Medium
38.0,High School,15.0,Finance,Auditor,Large,Entry,22,84,50,Low,1,2.0,20,5.0,Medium
24.0,High School,3.0,Manufacturing,Operator,Medium,Entry,53,53,20,Medium,3,6.0,24,22.0,High
43.0,Master's,5.0,Education,Research Assistant,Medium,Entry,39,71,73,Low,0,0.0,27,5.0,Low
26.0,Master's,5.0,Healthcare,Health Analyst,Medium,Mid,12,86,77,Low,0,5.0,10,4.0,Low
48.0,High School,13.0,Telecom,Operations Analyst,Large,Mid,75,17,71,Medium,4,13.0,55,17.0,High
27.0,Bachelor's,4.0,Education,Teacher,Medium,Entry,12,74,91,Low,1,2.0,7,4.0,Low
57.0,Master's,11.0,Healthcare,Health Analyst,Medium,Senior,31,63,71,Medium,2,12.0,22,23.0,Low
50.0,Master's,4.0,Finance,Financial Analyst,Small,Mid,50,57,56,Low,1,3.0,25,9.0,Low
25.0,Bachelor's,4.0,Healthcare,Medical Assistant,Medium,Entry,24,85,43,Low,1,1.0,20,4.0,Low
44.0,Bachelor's,5.0,Telecom,Support Specialist,Large,Mid,50,55,67,Low,0,2.0,35,4.0,Medium
25.0,Bachelor's,4.0,Education,Teacher,Medium,Mid,36,73,73,Low,2,4.0,18,0.0,Low
51.0,Master's,10.0,Finance,Accountant,Small,Entry,66,38,53,Low,1,2.0,31,5.0,Medium
40.0,Master's,6.0,Education,Teacher,Large,Mid,20,77,99,Low,1,5.0,9,7.0,Low
43.0,Master's,11.0,Manufacturing,Production Supervisor,Medium,Entry,16,75,41,Low,0,5.0,9,1.0,Low
39.0,Bachelor's,5.0,Education,Teacher,Large,Entry,46,57,79,Medium,2,11.0,32,26.0,Low
55.0,Bachelor's,13.0,Telecom,NULL,Medium,Mid,150,92,94,Low,2,1.0,8,7.0,Low
21.0,Bachelor's,0.0,Education,Research Assistant,Large,Mid,28,91,69,Low,1,0.0,21,1.0,Low
36.0,High School,9.0,Healthcare,Nurse,Small,Entry,49,54,78,Low,1,2.0,27,3.0,Medium
31.0,Bachelor's,6.0,Finance,Accountant,Medium,Mid,59,52,80,Low,0,5.0,38,4.0,Medium
38.0,High School,7.0,Manufacturing,Operator,Large,Mid,30,69,90,Low,1,3.0,28,3.0,Medium
24.0,Bachelor's,3.0,Telecom,Operations Analyst,Medium,Entry,34,77,56,Low,1,4.0,30,1.0,Medium
42.0,Bachelor's,6.0,Education,Academic Coordinator,Medium,Senior,44,55,37,Low,0,0.0,39,5.0,Low
55.0,Master's,10.0,Finance,Auditor,Medium,Mid,43,48,89,Low,1,0.0,21,0.0,Low
33.0,Bachelor's,5.0,Manufacturing,Quality Engineer,Medium,Entry,19,85,34,Low,1,2.0,14,2.0,Medium
46.0,High School,1.0,NULL,Support Specialist,Small,Entry,54,48,75,Low,2,0.0,36,4.0,High
51.0,High School,10.0,Healthcare,Medical Assistant,Medium,Senior,79,19,58,Medium,3,11.0,39,6.0,Medium
55.0,Bachelor's,12.0,Manufacturing,Quality Engineer,Medium,Entry,71,48,77,Medium,2,11.0,57,10.0,High
32.0,Master's,11.0,Healthcare,Health Analyst,Medium,Mid,28,86,66,Low,2,0.0,13,4.0,Low
52.0,PhD,2.0,Manufacturing,Operator,Large,Senior,53,40,74,Low,2,1.0,40,8.0,Medium
40.0,Master's,17.0,Finance,Accountant,Medium,Entry,51,46,25,Medium,3,9.0,26,10.0,Medium
28.0,Bachelor's,7.0,Healthcare,Nurse,Small,Mid,15,92,85,Low,0,2.0,8,0.0,Low
28.0,Master's,7.0,Healthcare,Health Analyst,Large,Senior,19,78,43,Low,1,0.0,13,2.0,Low
30.0,Bachelor's,9.0,IT,ML Engineer,Large,Mid,56,60,27,Low,2,0.0,33,7.0,Medium
30.0,Bachelor's,0.0,Finance,Accountant,Medium,Mid,50,54,36,Medium,2,10.0,24,13.0,Medium
34.0,Bachelor's,13.0,Education,Research Assistant,Small,Entry,87,10,86,High,9,24.0,45,54.0,Medium
52.0,Master's,8.0,Manufacturing,Operator,Medium,Senior,83,0,70,High,5,20.0,65,63.0,Medium
41.0,Bachelor's,13.0,Healthcare,Medical Assistant,Medium,Entry,67,19,92,Medium,3,14.0,32,16.0,Medium
37.0,NULL,7.0,IT,Data Analyst,N/A,Mid,26,68,38,Low,2,5.0,20,0.0,Low
23.0,Bachelor's,2.0,Telecom,Network Engineer,Large,Senior,56,58,82,Medium,2,8.0,29,19.0,Low
42.0,Bachelor's,13.0,Retail,Inventory Analyst,Large,Entry,70,23,54,Medium,2,9.0,33,11.0,High
47.0,Bachelor's,2.0,IT,ML Engineer,Medium,Senior,64,36,22,Low,1,2.0,63,1.0,High
46.0,Bachelor's,11.0,Education,Research Assistant,Small,Entry,54,47,90,Medium,2,9.0,31,7.0,Medium
40.0,High School,2.0,Logistics,Supply Chain Analyst,Large,Senior,57,51,47,Low,0,1.0,28,6.0,Medium
41.0,Master's,7.0,Healthcare,Medical Assistant,Medium,Mid,77,25,28,Medium,4,6.0,69,14.0,High
25.0,Bachelor's,4.0,Healthcare,Medical Assistant,Medium,Mid,65,40,79,Medium,4,11.0,35,16.0,Medium
48.0,Bachelor's,10.0,Healthcare,Health Analyst,Medium,Entry,49,40,53,Medium,2,6.0,46,23.0,Medium
57.0,Bachelor's,5.0,Education,Research Assistant,Large,Entry,34,68,56,Low,1,1.0,21,7.0,Low
46.0,Bachelor's,0.0,Education,Teacher,Large,Entry,16,87,70,Low,1,5.0,10,4.0,Low
26.0,Bachelor's,5.0,IT,Data Analyst,Small,Entry,74,30,34,Medium,4,12.0,57,19.0,High
23.0,Bachelor's,2.0,Education,Academic Coordinator,Medium,Entry,85,4,81,High,5,28.0,80,38.0,High
39.0,Master's,13.0,Logistics,Dispatcher,Medium,Entry,87,21,24,High,9,,70,42.0,High
29.0,Master's,8.0,Finance,Accountant,Medium,Senior,54,34,90,Low,2,2.0,47,0.0,Low
51.0,Bachelor's,6.0,Finance,Financial Analyst,Medium,Entry,38,44,24,Low,0,0.0,21,1.0,Medium
50.0,Bachelor's,2.0,Retail,Sales Associate,Medium,Entry,23,65,94,Low,1,0.0,17,8.0,Medium
58.0,Bachelor's,11.0,IT,ML Engineer,Small,Mid,47,50,34,Medium,5,7.0,35,18.0,Medium
48.0,High School,9.0,Retail,Store Manager,Medium,Mid,59,53,73,Medium,3,6.0,29,26.0,Medium
55.0,Bachelor's,15.0,Finance,Auditor,Medium,Senior,54,32,42,Medium,4,9.0,31,27.0,Low
25.0,High School,4.0,Telecom,Network Engineer,Medium,Entry,26,68,33,Low,2,4.0,24,7.0,Medium
30.0,High School,8.0,Healthcare,Medical Assistant,Small,Mid,65,25,72,Medium,5,8.0,53,21.0,Medium
29.0,High School,2.0,Finance,Financial Analyst,Medium,Senior,15,84,38,Low,0,1.0,14,3.0,Low
22.0,Bachelor's,1.0,Logistics,Warehouse Manager,Medium,Mid,38,48,62,Low,0,0.0,35,7.0,Medium
33.0,Bachelor's,1.0,Education,Teacher,Small,Mid,51,73,91,Low,2,0.0,32,2.0,Low
40.0,Bachelor's,7.0,Finance,Accountant,Medium,Entry,53,45,70,Medium,3,8.0,33,5.0,Medium
40.0,Bachelor's,9.0,IT,Software Engineer,Large,Senior,81,44,72,Medium,3,8.0,55,7.0,Medium
21.0,Bachelor's,0.0,Finance,Accountant,Medium,Entry,30,89,35,Low,0,4.0,17,7.0,Medium
25.0,High School,4.0,Manufacturing,Quality Engineer,Medium,Mid,50,44,54,Low,0,0.0,37,3.0,High
23.0,High School,2.0,Education,Research Assistant,Small,Senior,41,56,55,Low,2,3.0,38,4.0,Low
32.0,Master's,10.0,IT,ML Engineer,Medium,Entry,46,48,88,Low,2,5.0,30,9.0,Low
25.0,Bachelor's,4.0,IT,Data Analyst,Medium,Mid,54,30,50,Low,2,5.0,43,0.0,Medium
55.0,Bachelor's,4.0,Manufacturing,Quality Engineer,Medium,Entry,15,99,89,Low,2,0.0,6,9.0,Low
41.0,Master's,4.0,IT,Software Engineer,Small,Entry,22,89,61,Low,1,0.0,15,6.0,Low
37.0,High School,10.0,IT,Software Engineer,Large,Entry,58,31,24,Medium,2,12.0,35,7.0,High
49.0,High School,3.0,IT,Data Analyst,Large,Senior,93,13,34,High,5,22.0,57,21.0,High
30.0,Bachelor's,5.0,Healthcare,Medical Assistant,Small,Entry,94,3,94,Medium,2,5.0,73,25.0,High
33.0,Bachelor's,6.0,Telecom,Network Engineer,Large,Entry,56,41,33,Low,2,0.0,51,4.0,High
24.0,Bachelor's,3.0,Finance,Financial Analyst,Small,Entry,37,57,81,Medium,3,8.0,30,26.0,Medium
25.0,Bachelor's,4.0,Healthcare,Nurse,Large,Mid,16,98,66,Low,1,0.0,10,4.0,Low
30.0,Bachelor's,9.0,Finance,Financial Analyst,Medium,Entry,31,65,78,Low,1,3.0,17,5.0,Medium
42.0,Bachelor's,1.0,Telecom,Support Specialist,Medium,Entry,37,66,65,Low,0,1.0,22,7.0,Medium
25.0,Master's,4.0,Finance,Accountant,Large,Entry,58,50,56,Low,0,5.0,43,5.0,Medium
50.0,Bachelor's,13.0,Education,Academic Coordinator,Small,Mid,47,62,27,Low,0,2.0,42,5.0,Medium
43.0,High School,12.0,Telecom,Operations Analyst,Medium,Entry,75,34,73,Low,1,5.0,48,8.0,High
31.0,PhD,10.0,Telecom,Network Engineer,Large,Entry,50,51,34,Medium,5,5.0,42,8.0,Medium
